PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
azure;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;4db9fc14-989b-40b7-be4d-5bde1c4d991a;global;2026-04-07 15:21:07.449768;10.2.1.1.3;Checks if Azure API Management (APIM) services have Azure Monitor Application Insights (AI) tracing enabled. The rule is COMPLIANT if Application Insights integration is enabled for API requests, and NON_COMPLIANT otherwise.;10.2.1.1: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events. ;;;Azure API Management;;FAIL;There are no AppInsight configured in subscription Azure subscription 1.;/subscriptions/4db9fc14-989b-40b7-be4d-5bde1c4d991a;appinsights_ensure_is_configured;False;Azure subscription 1;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
azure;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;4db9fc14-989b-40b7-be4d-5bde1c4d991a;global;2026-04-07 15:21:07.449768;10.2.1.2.3;Checks if Azure API Management (APIM) services have Azure Monitor Application Insights (AI) tracing enabled. The rule is COMPLIANT if Application Insights integration is enabled for API requests, and NON_COMPLIANT otherwise.;10.2.1.2: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events. ;;;Azure API Management;;FAIL;There are no AppInsight configured in subscription Azure subscription 1.;/subscriptions/4db9fc14-989b-40b7-be4d-5bde1c4d991a;appinsights_ensure_is_configured;False;Azure subscription 1;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
azure;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;4db9fc14-989b-40b7-be4d-5bde1c4d991a;global;2026-04-07 15:21:07.449768;10.2.1.3.3;Checks if Azure API Management (APIM) services have Azure Monitor Application Insights (AI) tracing enabled. The rule is COMPLIANT if Application Insights integration is enabled for API requests, and NON_COMPLIANT otherwise.;10.2.1.3: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events. ;;;Azure API Management;;FAIL;There are no AppInsight configured in subscription Azure subscription 1.;/subscriptions/4db9fc14-989b-40b7-be4d-5bde1c4d991a;appinsights_ensure_is_configured;False;Azure subscription 1;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
azure;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;4db9fc14-989b-40b7-be4d-5bde1c4d991a;global;2026-04-07 15:21:07.449768;10.2.1.4.3;Checks if Azure API Management (APIM) services have Azure Monitor Application Insights (AI) tracing enabled. The rule is COMPLIANT if Application Insights integration is enabled for API requests, and NON_COMPLIANT otherwise.;10.2.1.4: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events. ;;;Azure API Management;;FAIL;There are no AppInsight configured in subscription Azure subscription 1.;/subscriptions/4db9fc14-989b-40b7-be4d-5bde1c4d991a;appinsights_ensure_is_configured;False;Azure subscription 1;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
azure;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;4db9fc14-989b-40b7-be4d-5bde1c4d991a;global;2026-04-07 15:21:07.449768;10.2.1.5.3;Checks if Azure API Management (APIM) services have Azure Monitor Application Insights (AI) tracing enabled. The rule is COMPLIANT if Application Insights integration is enabled for API requests, and NON_COMPLIANT otherwise.;10.2.1.5: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events. ;;;Azure API Management;;FAIL;There are no AppInsight configured in subscription Azure subscription 1.;/subscriptions/4db9fc14-989b-40b7-be4d-5bde1c4d991a;appinsights_ensure_is_configured;False;Azure subscription 1;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
azure;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;4db9fc14-989b-40b7-be4d-5bde1c4d991a;global;2026-04-07 15:21:07.449768;10.2.1.6.3;Checks if Azure API Management (APIM) services have Azure Monitor Application Insights (AI) tracing enabled. The rule is COMPLIANT if Application Insights integration is enabled for API requests, and NON_COMPLIANT otherwise.;10.2.1.6: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events. ;;;Azure API Management;;FAIL;There are no AppInsight configured in subscription Azure subscription 1.;/subscriptions/4db9fc14-989b-40b7-be4d-5bde1c4d991a;appinsights_ensure_is_configured;False;Azure subscription 1;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
azure;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;4db9fc14-989b-40b7-be4d-5bde1c4d991a;global;2026-04-07 15:21:07.449768;10.2.1.7.3;Checks if Azure API Management (APIM) services have Azure Monitor Application Insights (AI) tracing enabled. The rule is COMPLIANT if Application Insights integration is enabled for API requests, and NON_COMPLIANT otherwise.;10.2.1.7: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events. ;;;Azure API Management;;FAIL;There are no AppInsight configured in subscription Azure subscription 1.;/subscriptions/4db9fc14-989b-40b7-be4d-5bde1c4d991a;appinsights_ensure_is_configured;False;Azure subscription 1;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
azure;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;4db9fc14-989b-40b7-be4d-5bde1c4d991a;global;2026-04-07 15:21:07.449768;10.2.1.3;Checks if Azure API Management (APIM) services have Azure Monitor Application Insights (AI) tracing enabled. The rule is COMPLIANT if Application Insights integration is enabled for API requests, and NON_COMPLIANT otherwise.;10.2.1: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events. ;;;Azure API Management;;FAIL;There are no AppInsight configured in subscription Azure subscription 1.;/subscriptions/4db9fc14-989b-40b7-be4d-5bde1c4d991a;appinsights_ensure_is_configured;False;Azure subscription 1;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
azure;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;4db9fc14-989b-40b7-be4d-5bde1c4d991a;global;2026-04-07 15:21:07.449768;10.2.2.3;Checks if Azure API Management (APIM) services have Azure Monitor Application Insights (AI) tracing enabled. The rule is COMPLIANT if Application Insights integration is enabled for API requests, and NON_COMPLIANT otherwise.;10.2.2: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events. ;;;Azure API Management;;FAIL;There are no AppInsight configured in subscription Azure subscription 1.;/subscriptions/4db9fc14-989b-40b7-be4d-5bde1c4d991a;appinsights_ensure_is_configured;False;Azure subscription 1;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
azure;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;4db9fc14-989b-40b7-be4d-5bde1c4d991a;global;2026-04-07 15:21:07.449768;10.4.1.1.1;Checks if Azure API Management (APIM) services have Azure Monitor Application Insights (AI) tracing enabled. The rule is COMPLIANT if Application Insights integration is enabled for API requests, and NON_COMPLIANT otherwise.;10.4.1.1: Audit logs are reviewed to identify anomalies or suspicious activity. ;;;Azure API Management;;FAIL;There are no AppInsight configured in subscription Azure subscription 1.;/subscriptions/4db9fc14-989b-40b7-be4d-5bde1c4d991a;appinsights_ensure_is_configured;False;Azure subscription 1;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
