PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:eu-north-1:334960985321:trail;cloudtrail_multi_region_enabled;False;334960985321;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;your-data-2;Learn what is happening on your network, manage network and perimeter components, host and device components, data-at-rest and in-transit, and user behavior activities.;your data;;;aws;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:eu-north-1:334960985321:trail;cloudtrail_multi_region_enabled;False;334960985321;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;your-data-2;Learn what is happening on your network, manage network and perimeter components, host and device components, data-at-rest and in-transit, and user behavior activities.;your data;;;aws;;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_log_metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled;False;334960985321;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;FAIL;EBS Default Encryption is not activated.;arn:aws:ec2:eu-north-1:334960985321:volume;ec2_ebs_default_encryption;False;334960985321;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;your-data-1;Learn how your data is protected.;your data;;;aws;;FAIL;EBS Default Encryption is not activated.;arn:aws:ec2:eu-north-1:334960985321:volume;ec2_ebs_default_encryption;False;334960985321;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;FAIL;EBS Snapshot vol-0e5fdadc95af04884 is unencrypted.;arn:aws:ec2:eu-north-1:334960985321:volume/vol-0e5fdadc95af04884;ec2_ebs_volume_encryption;False;vol-0e5fdadc95af04884;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;your-data-1;Learn how your data is protected.;your data;;;aws;;FAIL;EBS Snapshot vol-0e5fdadc95af04884 is unencrypted.;arn:aws:ec2:eu-north-1:334960985321:volume/vol-0e5fdadc95af04884;ec2_ebs_volume_encryption;False;vol-0e5fdadc95af04884;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;your-data-2;Learn what is happening on your network, manage network and perimeter components, host and device components, data-at-rest and in-transit, and user behavior activities.;your data;;;aws;;FAIL;EBS Snapshot vol-0e5fdadc95af04884 is unencrypted.;arn:aws:ec2:eu-north-1:334960985321:volume/vol-0e5fdadc95af04884;ec2_ebs_volume_encryption;False;vol-0e5fdadc95af04884;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;your-systems-1;Learn what is on your network. Maintain inventories of hardware and software assets to know what is in play and at-risk from attack.;your systems;;;aws;;PASS;EC2 Instance i-07155be449979bd7a is unmanaged by Systems Manager because it is stopped.;arn:aws:ec2:eu-north-1:334960985321:instance/i-07155be449979bd7a;ec2_instance_managed_by_ssm;False;i-07155be449979bd7a;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;your-systems-1;Learn what is on your network. Maintain inventories of hardware and software assets to know what is in play and at-risk from attack.;your systems;;;aws;;PASS;EC2 Instance i-07155be449979bd7a is not running.;arn:aws:ec2:eu-north-1:334960985321:instance/i-07155be449979bd7a;ec2_instance_older_than_specific_days;False;i-07155be449979bd7a;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;PASS;EC2 Instance i-07155be449979bd7a does not have a Public IP.;arn:aws:ec2:eu-north-1:334960985321:instance/i-07155be449979bd7a;ec2_instance_public_ip;False;i-07155be449979bd7a;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;your-data-2;Learn what is happening on your network, manage network and perimeter components, host and device components, data-at-rest and in-transit, and user behavior activities.;your data;;;aws;;PASS;EC2 Instance i-07155be449979bd7a does not have a Public IP.;arn:aws:ec2:eu-north-1:334960985321:instance/i-07155be449979bd7a;ec2_instance_public_ip;False;i-07155be449979bd7a;CISA;CISA Cyber Essentials framework;
